ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB,CS,1RHR,2RHR,3RHR,4RHR,H,PA,AB,TB,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,2,S2,MIN,MIN (S1-2),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,{2111},1,1,0,382.0,2,0.2236936162425633,-0.0155,0.0301147228784912,0,0,SFG,11,1,2,0,0,0,2,2.0,0.0567139282735613,0.0,2495,830,9421,8478.276063386154,4466,0.3529349325973888,0.5267580303602801,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,0.5,1.0,191.0,Thomas Nova,BP,,Left,C,231.5096580059124
1,2,S2,SFG,SFG,2,0,0,1,3,0,7,4,0,1,2,1,0,1,0,3,1,0,0,0,2,0,0,0,3,21,17,9,"{2148, 2182, 2122, 2156, 2162, 2133, 2172}",7,4,4,5078.0,21,-0.6820215001730057,-0.0458999999999999,0.0131241431521664,0,0,SFG,18,3,9,3,7,0,21,17.603002502085072,0.0567139282735613,0.3969974979149291,2495,830,9421,8478.276063386154,4466,0.3529349325973888,0.5267580303602801,0.1764705882352941,0.2857142857142857,0.5294117647058824,0.8151260504201681,0.3529411764705882,0.0833333333333333,,0.0952380952380952,0.1904761904761904,0.1428571428571428,0.2727272727272727,0.6363636363636364,0.4285714285714285,0.2857142857142857,0.5112764142897753,241.8095238095238,Thomas Nova,BP,,Left,C,78.01477559964142
1,2,S2,WSH,WSH (S1-2),0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,"{2060, 2101}",2,0,0,1502.0,5,-0.9633809949453632,-0.1984,-0.0769746963589489,0,0,SFG,10,0,0,0,2,0,5,4.886572143452877,0.0567139282735613,0.1134278565471226,2495,830,9421,8478.276063386154,4466,0.3529349325973888,0.5267580303602801,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,300.4,Thomas Nova,BP,,Left,C,-100.0
1,3,S3,ARI,ARI,1,0,2,2,2,0,3,5,0,2,0,4,0,0,0,4,0,0,0,1,1,0,0,0,5,21,19,10,"{3137, 3047, 3180, 3023, 3093, 3157, 3128, 3004}",8,1,4,6168.0,22,0.1108298996385553,-0.16,0.0966947117394096,0,0,ARI,15,5,10,2,3,0,21,18.85151006711409,0.049496644295302,0.148489932885906,2105,910,9214,8223.221476510067,4313,0.3272194486650749,0.524490312260255,0.2631578947368421,0.3333333333333333,0.5263157894736842,0.8596491228070176,0.2631578947368421,0.3076923076923077,0.0,0.0476190476190476,0.238095238095238,0.0952380952380952,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.5304614836900894,280.3636363636364,Thomas Nova,BP,,Left,C,103.00690685277532
1,4,S4,DET,DET,1,0,2,4,6,0,3,11,1,1,1,3,0,1,0,4,0,0,1,0,1,0,0,0,7,32,25,12,"{4035, 4231, 4200, 4169, 4138, 4016, 4050, 4094, 4126, 4215, 4155, 4062}",12,6,4,7675.0,32,-0.2478482886073207,0.0672999999999999,0.0973661461366608,0,0,DET,16,7,12,6,3,0,32,25.83501352348168,0.0549954921727727,0.1649864765183182,2682,1209,11823,10481.16941234325,5401,0.3291042882517128,0.5153050950249368,0.28,0.40625,0.48,0.88625,0.1999999999999999,0.4285714285714285,1.0,0.03125,0.34375,0.1875,0.5,0.375,1.3333333333333333,0.40625,0.4644859190452171,239.84375,Thomas Nova,BP,,Left,C,113.579155345567
1,5,S5,SEA,SEA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,{5018},1,0,0,478.0,2,-0.4332029664361239,-0.0326,-0.0355715094627269,0,0,TBR,2,0,0,1,0,0,2,1.0,0.0615543056325754,0.0,2885,1213,12143,10789.15170720114,5957,0.3374783826072634,0.5521286716196644,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,239.0,Thomas Nova,BP,EG-H,Left,P,48.15763787213277
1,5,S5,TBR,TBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,{5213},1,0,0,331.0,1,-0.4341216216216216,-0.0081999999999999,-0.0395377685717194,0,0,TBR,15,0,0,0,0,0,1,1.0,0.0615543056325754,0.0,2885,1213,12143,10789.15170720114,5957,0.3374783826072634,0.5521286716196644,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,331.0,Thomas Nova,BP,EG-H,Left,P,-100.0
1,10,S10,STL,STL,3,2,4,2,1,0,9,8,0,5,0,2,0,0,0,2,0,0,2,0,2,0,1,0,11,36,35,28,"{10149, 10088, 10121, 10059, 10028, 10223, 10064, 10193, 10098, 10196, 10042, 10172, 10014}",13,7,9,8624.0,38,5.195248603144628,0.3389,0.6603782701089396,0,0,STL,15,11,28,3,7,0,36,32.64033993450803,0.0513800093559956,0.3596600654919694,3018,1130,12383,11138.481599875253,5999,0.334975369458128,0.5385832841046473,0.3142857142857143,0.3333333333333333,0.8,1.1333333333333333,0.4857142857142857,0.3333333333333333,1.0,0.0833333333333333,0.2222222222222222,0.0277777777777777,0.125,0.5625,0.2222222222222222,0.3888888888888889,0.8578342032031914,226.94736842105263,Thomas Nova,TT,,Left,C,175.37082538622738
1,11,S11,STL,STL,2,1,0,1,5,0,3,4,0,3,1,2,0,0,0,3,0,0,0,0,1,1,0,0,4,22,17,12,"{11104, 11042, 11013, 11208, 11178, 11052, 11148, 11090, 11192}",9,5,4,5210.0,22,3.3106918615100858,0.2531,0.4107611341747567,0,1,STL,14,4,13,5,3,0,22,16.84678826328311,0.0510705789056304,0.1532117367168913,2989,1162,12248,10978.633148295005,5942,0.338912475506205,0.5412331316419658,0.2352941176470588,0.4090909090909091,0.7058823529411765,1.1149732620320856,0.4705882352941177,0.1818181818181818,,0.0909090909090909,0.1818181818181818,0.2272727272727272,0.3333333333333333,0.3333333333333333,1.0,0.4090909090909091,0.7716604373982056,236.8181818181818,Thomas Nova,TT,,Left,C,163.28145016920797
2,2,S2,CLE,CIN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,{2134},1,0,1,153.0,2,1.2909614927045676,0.0678,0.1368415105246917,0,0,CIN,13,2,2,0,0,0,2,2.0,0.0567139282735613,0.0,2495,830,9421,8478.276063386154,4466,0.3529349325973888,0.5267580303602801,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,1.0,1.0,76.5,Rub A. Chikin,BC,BB-B,Left,P,373.17883093824327
