League,Season,FIP Constant
MLR,1,1.7780000000000002
MLR,2,1.6571385129998477
MLR,3,1.1190512161958002
MLR,4,1.2984754645069079
MLR,5,1.2701326385599239
MLR,6,1.0962502985431097
MLR,7,1.1732761700607361
MLR,8,1.279551034724658
MLR,9,1.3723367499712085
MLR,10,1.2363072683430936
MLR,11,1.2610728058899152
MLR,12,1.400497512437811
MLR_Playoff,1,0.909090909090909
MLR_Playoff,2,0.5487804878048783
MLR_Playoff,3,0.01195219123505975
MLR_Playoff,4,2.267002518891688
MLR_Playoff,5,1.7421875
MLR_Playoff,6,0.7744360902255636
MLR_Playoff,7,1.8664987405541562
MLR_Playoff,8,2.13953488372093
MLR_Playoff,9,0.8267716535433074
MLR_Playoff,10,1.2135678391959797
MLR_Playoff,11,1.5483870967741935
MiLR,2,1.5625
MiLR,3,2.1879562043795624
MiLR,4,2.226233122072196
MiLR,5,1.2243733794295593
MiLR,6,1.0135557872784147
MiLR,7,0.8267656090071651
MiLR,8A,1.182998819362456
MiLR,8B,0.8145869947275921
MiLR,9,0.88750598372427
MiLR,10,1.0068081698037643
MiLR,11,1.091614014933946
MiLR,12,1.370769230769231
MiLR_Playoff,3,2.0792079207920784
MiLR_Playoff,4,2.205882352941177
MiLR_Playoff,5,1.0874999999999995
MiLR_Playoff,6,1.6178010471204187
MiLR_Playoff,7,0.3435114503816794
MiLR_Playoff,8A,1.8823529411764706
MiLR_Playoff,8B,2.454545454545454
MiLR_Playoff,9,0.3367346938775513
MiLR_Playoff,10,0.10810810810810789
MiLR_Playoff,11,2.5999999999999996
FCB,3,1.7624999999999997
FCB,4,1.7279151943462896
FCB,5,1.7908937605396291
FCB,6,1.2279069767441861
FCB,7,1.1370967741935485
FCB,8,1.567567567567568
FCB,9,1.1661290322580649
FCB,10,0.9347014925373136
FCB,11,1.3493044822256568
FCB,12,1.7572078907435507
ECO,1,1.0326409495548963
NPR,1,1.6814701378254207
WBC,1,0.7261538461538461
GIB,1,2.190930787589499
GIB,2,1.279569892473118
GIB,3,0.8223529411764705
